2026-06-30 16:11:00,969 | INFO | vision_stack.detector | Detector carregado via comic-text-detector native (cuda)
2026-06-30 16:11:47,431 | WARNING | typesetter.renderer | RENDER QA: ['balloon_bbox_collapsed_to_text', 'dark_bubble_visual_bbox_refined', 'dark_panel_rect_from_border_lines', 'visual_text_only_inpaint_contract', 'text_contract_direct_fill', 'dark_panel_full_bbox_selected', 'render_text_mask_cleanup', 'safe_text_box_recomputed', 'connected_layout_disabled_dark_panel_visual_mask', 'visual_card_font_fallback', 'layout_text_geometry_sanitized', 'dark_panel_full_bbox_safe_clamped_to_inner', 'full_dark_panel_visual_capacity', 'dark_visual_safe_width_limited', 'original_text_scale_size_experiment', 'original_text_scale_min_underflow', 'TEXT_CLIPPED', 'TEXT_OVERFLOW', 'render_outside_balloon'] â€” texto='A MISSÃO PRINCIPAL SERÁ MOSTRA...' render_bbox=[87, 164, 281, 366] safe_text_box=[53, 208, 315, 321]
2026-06-30 16:11:52,310 | WARNING | typesetter.renderer | RENDER QA: ['dark_bubble_visual_glyph_mask_replaced_geometry', 'balloon_outline_components_removed', 'visual_text_only_inpaint_contract', 'band_edge_clipped_balloon_mask', 'text_contract_direct_fill', 'render_text_mask_cleanup', 'visual_card_font_fallback', 'layout_text_geometry_sanitized', 'safe_text_box_recomputed', 'bbox_fallback_bubble_mask', 'trusted_dark_visual_capacity_target', 'bbox_fallback_text_anchor_preserved', 'dark_visual_underfit_capacity_expanded', 'dark_visual_safe_width_limited', 'original_text_scale_size_experiment', 'original_text_scale_min_underflow', 'TEXT_CLIPPED', 'TEXT_OVERFLOW'] â€” texto='O EPISÓDIO COMEÇA!...' render_bbox=[606, 539, 746, 645] safe_text_box=[559, 570, 793, 614]
2026-06-30 16:12:08,741 | WARNING | typesetter.renderer | RENDER QA: ['dark_bubble_visual_glyph_mask_replaced_geometry', 'visual_text_only_inpaint_contract', 'band_edge_clipped_balloon_mask', 'text_contract_direct_fill', 'render_text_mask_cleanup', 'connected_layout_disabled_rejected_bubble_mask', 'connected_lobe_boxes_missing_source_anchor_fallback', 'visual_card_font_fallback', 'layout_text_geometry_sanitized', 'safe_text_box_recomputed', 'bbox_fallback_bubble_mask', 'trusted_dark_visual_capacity_target', 'bbox_fallback_text_anchor_preserved', 'dark_visual_underfit_capacity_expanded', 'dark_visual_safe_width_limited', 'original_text_scale_size_experiment', 'original_text_scale_min_underflow', 'TEXT_CLIPPED', 'TEXT_OVERFLOW', 'render_outside_balloon'] â€” texto='1.000 PONTOS.....' render_bbox=[130, 497, 244, 594] safe_text_box=[81, 514, 294, 576]
2026-06-30 16:12:09,811 | WARNING | typesetter.renderer | RENDER QA: ['negative_pass_promoted', 'dark_bubble_negative_evidence', 'dark_bubble_oval_reocr', 'dark_bubble_ellipse_bbox_mask', 'dark_bubble_visual_glyph_mask_replaced_geometry', 'visual_text_only_inpaint_contract', 'band_edge_clipped_balloon_mask', 'fast_fill_no_glyph_evidence', 'dark_bubble_lobe_clip_rejected_undercovered_text', 'text_contract_direct_fill', 'dark_bubble_visual_bbox_refined', 'render_text_mask_cleanup', 'safe_text_box_recomputed', 'auto_dark_panel_glow_fallback', 'visual_card_font_fallback', 'trusted_dark_visual_capacity_target', 'dark_visual_underfit_capacity_expanded', 'dark_visual_safe_width_limited', 'original_text_scale_size_experiment', 'original_text_scale_min_underflow', 'render_on_art_suspected'] â€” texto='OS CRITÉRIOS ESTABELECEM UM SU...' render_bbox=[51, 13, 271, 76] safe_text_box=[20, 13, 271, 166]
2026-06-30 16:12:10,100 | WARNING | typesetter.renderer | RENDER QA: ['dark_bubble_visual_glyph_mask_replaced_geometry', 'visual_text_only_inpaint_contract', 'mask_outside_balloon', 'mask_outside_balloon_critical', 'text_contract_direct_fill', 'render_text_mask_cleanup', 'connected_lobe_boxes_missing_source_anchor_fallback', 'visual_card_font_fallback', 'dark_bubble_overbroad_target_clamped_to_visible_bbox', 'safe_text_box_recomputed', 'dark_visual_safe_width_limited', 'original_text_scale_size_experiment', 'original_text_scale_min_underflow', 'TEXT_OVERFLOW', 'render_on_art_suspected'] â€” texto='A RECOMPENSA DA MISSÃO É......' render_bbox=[528, 472, 638, 530] safe_text_box=[520, 466, 646, 533]
2026-06-30 16:12:44,874 | WARNING | typesetter.renderer | RENDER QA: ['dark_bubble_visual_glyph_mask_replaced_geometry', 'visual_text_only_inpaint_contract', 'dark_text_contract_mask_rejected_overbroad', 'render_text_mask_cleanup', 'visual_card_font_fallback', 'layout_text_geometry_sanitized', 'safe_text_box_recomputed', 'bbox_fallback_bubble_mask', 'trusted_dark_visual_capacity_target', 'bbox_fallback_text_anchor_preserved', 'dark_visual_underfit_capacity_expanded', 'dark_visual_safe_width_limited', 'original_text_scale_size_experiment', 'original_text_scale_min_underflow', 'TEXT_CLIPPED', 'TEXT_OVERFLOW'] â€” texto='ISSO MESMO!...' render_bbox=[296, 426, 396, 523] safe_text_box=[270, 451, 421, 500]
2026-06-30 16:13:57,476 | WARNING | typesetter.renderer | RENDER QA: ['fast_fill_no_glyph_evidence', 'render_text_mask_cleanup', 'layout_text_geometry_sanitized', 'safe_text_box_recomputed', 'compact_small_text_capacity', 'original_text_scale_size_experiment', 'original_text_scale_min_underflow', 'TEXT_CLIPPED', 'TEXT_OVERFLOW'] â€” texto='O QUE É ISSO?...' render_bbox=[476, -5, 628, 91] safe_text_box=[456, 31, 650, 54]
2026-06-30 16:14:15,671 | WARNING | typesetter.renderer | RENDER QA: ['render_text_mask_cleanup', 'original_text_scale_size_experiment', 'original_text_scale_min_underflow', 'TEXT_CLIPPED'] â€” texto='FELIZMENTE, CONSEGUI EVITÁ-LO!...' render_bbox=[105, 173, 282, 276] safe_text_box=[117, 161, 271, 289]
2026-06-30 16:14:16,393 | WARNING | typesetter.renderer | RENDER QA: ['dark_bubble_visual_glyph_mask_replaced_geometry', 'visual_text_only_inpaint_contract', 'mask_outside_balloon', 'mask_outside_balloon_critical', 'text_contract_direct_fill', 'render_text_mask_cleanup', 'visual_card_font_fallback', 'trusted_dark_visual_capacity_target', 'safe_text_box_recomputed', 'dark_bubble_overbroad_target_clamped_to_visible_bbox', 'dark_visual_underfit_capacity_expanded', 'dark_visual_safe_width_limited', 'original_text_scale_size_experiment', 'original_text_scale_min_underflow', 'fit_below_minimum_legible', 'TEXT_CLIPPED', 'TEXT_OVERFLOW'] â€” texto='USE A HABILIDADE DE EVASÃO IME...' render_bbox=[301, 167, 435, 259] safe_text_box=[281, 189, 435, 242]
2026-06-30 16:14:49,686 | WARNING | typesetter.renderer | RENDER QA: ['negative_pass_attached_promoted', 'dark_bubble_negative_evidence', 'dark_bubble_visual_glyph_mask_replaced_geometry', 'dark_connected_lobe_anchor_component_filtered', 'visual_text_only_inpaint_contract', 'band_edge_clipped_balloon_mask', 'mask_outside_balloon', 'mask_outside_balloon_critical', 'text_contract_direct_fill', 'render_text_mask_cleanup', 'safe_text_box_recomputed', 'single_text_false_connected_split_disabled', 'visual_card_font_fallback', 'trusted_dark_visual_capacity_target', 'dark_bubble_overbroad_target_clamped_to_visible_bbox', 'dark_visual_underfit_capacity_expanded', 'dark_visual_safe_width_limited', 'original_text_scale_size_experiment', 'original_text_scale_min_underflow', 'TEXT_CLIPPED'] â€” texto='O ANFITRIÃO NÃO ESTÁ AUTORIZAD...' render_bbox=[145, 183, 322, 305] safe_text_box=[133, 190, 334, 299]
