strip 800x78406, 105 bands
band[000] y=0..1835 (1835px) balloons=16
band[001] y=1627..2308 (681px) balloons=1
band[002] y=2123..2512 (389px) balloons=1
band[003] y=2668..3128 (460px) balloons=2
band[004] y=2986..3849 (863px) balloons=3
band[005] y=3888..4479 (591px) balloons=3
band[006] y=4605..5131 (526px) balloons=2
band[007] y=5212..5665 (453px) balloons=1
band[008] y=5422..6123 (701px) balloons=2
band[009] y=5938..6757 (819px) balloons=1
band[010] y=6823..7286 (463px) balloons=2
band[011] y=7552..8122 (570px) balloons=1
band[012] y=8713..10314 (1601px) balloons=1
band[013] y=10218..10764 (546px) balloons=2
band[014] y=10545..10895 (350px) balloons=1
band[015] y=11306..11707 (401px) balloons=1
band[016] y=11515..12262 (747px) balloons=2
band[017] y=12475..12928 (453px) balloons=1
band[018] y=13035..13715 (680px) balloons=2
band[019] y=13916..14651 (735px) balloons=3
band[020] y=14409..15102 (693px) balloons=2
band[021] y=14860..15599 (739px) balloons=1
band[022] y=15513..16180 (667px) balloons=1
band[023] y=16404..16955 (551px) balloons=2
band[024] y=16902..17418 (516px) balloons=1
band[025] y=17226..17754 (528px) balloons=2
band[026] y=17966..18553 (587px) balloons=2
band[027] y=18763..19345 (582px) balloons=2
band[028] y=19673..20272 (599px) balloons=2
band[029] y=20449..20928 (479px) balloons=2
band[030] y=21765..22195 (430px) balloons=2
band[031] y=22072..22596 (524px) balloons=1
band[032] y=22926..23448 (522px) balloons=1
band[033] y=23718..24154 (436px) balloons=1
band[034] y=24352..24799 (447px) balloons=1
band[035] y=24576..25315 (739px) balloons=2
band[036] y=25917..26376 (459px) balloons=1
band[037] y=26809..27314 (505px) balloons=1
band[038] y=27607..28226 (619px) balloons=2
band[039] y=27973..28585 (612px) balloons=1
band[040] y=28861..29250 (389px) balloons=1
band[041] y=29550..30218 (668px) balloons=2
band[042] y=30480..31735 (1255px) balloons=2
band[043] y=31514..32545 (1031px) balloons=4
band[044] y=32850..33471 (621px) balloons=1
band[045] y=34507..34841 (334px) balloons=2
band[046] y=34586..34975 (389px) balloons=1
band[047] y=34739..35598 (859px) balloons=2
band[048] y=35829..36206 (377px) balloons=1
band[049] y=36787..37202 (415px) balloons=1
band[050] y=38132..38596 (464px) balloons=1
band[051] y=38722..39158 (436px) balloons=1
band[052] y=39140..39511 (371px) balloons=1
band[053] y=39505..39906 (401px) balloons=1
band[054] y=40107..40519 (412px) balloons=1
band[055] y=40627..41329 (702px) balloons=2
band[056] y=41116..41596 (480px) balloons=1
band[057] y=41779..42261 (482px) balloons=1
band[058] y=42020..42502 (482px) balloons=1
band[059] y=42387..42851 (464px) balloons=1
band[060] y=42942..43994 (1052px) balloons=3
band[061] y=44014..44437 (423px) balloons=1
band[062] y=45277..45821 (544px) balloons=1
band[063] y=46629..47090 (461px) balloons=1
band[064] y=48453..48972 (519px) balloons=1
band[065] y=49354..49720 (366px) balloons=1
band[066] y=49595..50224 (629px) balloons=1
band[067] y=50208..50762 (554px) balloons=1
band[068] y=52074..52454 (380px) balloons=2
band[069] y=52759..53098 (339px) balloons=1
band[070] y=53869..54384 (515px) balloons=2
band[071] y=54560..55544 (984px) balloons=4
band[072] y=55619..56532 (913px) balloons=2
band[073] y=56523..57001 (478px) balloons=1
band[074] y=56810..57466 (656px) balloons=2
band[075] y=57570..57998 (428px) balloons=1
band[076] y=59270..59672 (402px) balloons=1
band[077] y=59495..60298 (803px) balloons=4
band[078] y=60458..61567 (1109px) balloons=5
band[079] y=61696..62128 (432px) balloons=1
band[080] y=62093..62533 (440px) balloons=1
band[081] y=62476..63336 (860px) balloons=2
band[082] y=64035..64513 (478px) balloons=1
band[083] y=64279..64777 (498px) balloons=1
band[084] y=64568..64993 (425px) balloons=1
band[085] y=65168..65593 (425px) balloons=1
band[086] y=65387..65893 (506px) balloons=1
band[087] y=66120..66560 (440px) balloons=1
band[088] y=66351..66777 (426px) balloons=1
band[089] y=66645..67115 (470px) balloons=1
band[090] y=67312..68217 (905px) balloons=3
band[091] y=68376..69496 (1120px) balloons=3
band[092] y=69561..70017 (456px) balloons=2
band[093] y=70981..71672 (691px) balloons=3
band[094] y=71429..71931 (502px) balloons=1
band[095] y=71706..72542 (836px) balloons=2
band[096] y=72576..73262 (686px) balloons=3
band[097] y=73675..74047 (372px) balloons=1
band[098] y=74631..75011 (380px) balloons=1
band[099] y=74759..75262 (503px) balloons=1
band[100] y=75683..76021 (338px) balloons=1
band[101] y=76086..76496 (410px) balloons=1
band[102] y=76251..76781 (530px) balloons=2
band[103] y=76671..77111 (440px) balloons=1
band[104] y=77046..78435 (1389px) balloons=8
